Year,Month,yday,date,Tide range (m)
2009,2,27,2/27/2009,0.69
2009,2,28,2/28/2009,0.685
2009,3,1,3/1/2009,0.676
2009,3,2,3/2/2009,0.624
2009,3,3,3/3/2009,0.593
2009,3,4,3/4/2009,0.57
2009,3,5,3/5/2009,0.549
2009,3,6,3/6/2009,0.651
2009,3,7,3/7/2009,0.635
2009,3,8,3/8/2009,0.678
2009,3,9,3/9/2009,0.76
2009,3,10,3/10/2009,0.824
2009,3,11,3/11/2009,0.812
2009,3,12,3/12/2009,0.824
2009,3,13,3/13/2009,0.795
2009,3,14,3/14/2009,0.717
2009,3,15,3/15/2009,0.707
2009,3,16,3/16/2009,0.663
2009,3,17,3/17/2009,0.484
2009,3,18,3/18/2009,0.45
2009,3,19,3/19/2009,0.452
2009,3,20,3/20/2009,0.387
2009,3,21,3/21/2009,0.478
2009,3,22,3/22/2009,0.534
2009,3,23,3/23/2009,0.541
2009,3,24,3/24/2009,0.608
2009,3,25,3/25/2009,0.687
2009,3,26,3/26/2009,0.736
2009,3,27,3/27/2009,0.794
2009,3,28,3/28/2009,0.799
2009,3,29,3/29/2009,0.765
2009,3,30,3/30/2009,0.746
2009,3,31,3/31/2009,0.71
2009,4,1,4/1/2009,0.667
2009,4,2,4/2/2009,0.628
2009,4,3,4/3/2009,0.642
2009,4,4,4/4/2009,0.625
2009,4,5,4/5/2009,0.641
2009,4,6,4/6/2009,0.688
2009,4,7,4/7/2009,0.711
2009,4,8,4/8/2009,0.797
2009,4,9,4/9/2009,0.858
2009,4,10,4/10/2009,0.766
2009,4,11,4/11/2009,0.709
2009,4,12,4/12/2009,0.675
2009,4,13,4/13/2009,0.629
2009,4,14,4/14/2009,0.662
2009,4,15,4/15/2009,0.616
2009,4,16,4/16/2009,0.453
2009,4,17,4/17/2009,0.441
2009,4,18,4/18/2009,0.377
2009,4,19,4/19/2009,0.454
2009,4,20,4/20/2009,0.523
2009,4,21,4/21/2009,0.581
2009,4,22,4/22/2009,0.663
2009,4,23,4/23/2009,0.732
2009,4,24,4/24/2009,0.772
2009,4,25,4/25/2009,0.82
2009,4,26,4/26/2009,0.824
2009,4,27,4/27/2009,0.778
2009,4,28,4/28/2009,0.757
2009,4,29,4/29/2009,0.703
2009,4,30,4/30/2009,0.677
2009,5,1,5/1/2009,0.629
2009,5,2,5/2/2009,0.585
2009,5,3,5/3/2009,0.63
2009,5,4,5/4/2009,0.652
2009,5,5,5/5/2009,0.699
2009,5,6,5/6/2009,0.728
2009,5,7,5/7/2009,0.753
2009,5,8,5/8/2009,0.783
2009,5,9,5/9/2009,0.714
2009,5,10,5/10/2009,0.725
2009,5,11,5/11/2009,0.677
2009,5,12,5/12/2009,0.615
2009,5,13,5/13/2009,0.558
2009,5,14,5/14/2009,0.581
2009,5,15,5/15/2009,0.481
2009,5,16,5/16/2009,0.434
2009,5,17,5/17/2009,0.439
2009,5,18,5/18/2009,0.511
2009,5,19,5/19/2009,0.513
2009,5,20,5/20/2009,0.603
2009,5,21,5/21/2009,0.658
2009,5,22,5/22/2009,0.815
2009,5,23,5/23/2009,0.829
2009,5,24,5/24/2009,0.838
2009,5,25,5/25/2009,0.851
2009,5,26,5/26/2009,0.843
2009,5,27,5/27/2009,0.808
2009,5,28,5/28/2009,0.767
2009,5,29,5/29/2009,0.718
2009,5,30,5/30/2009,0.738
2009,5,31,5/31/2009,0.647
2009,6,1,6/1/2009,0.661
2009,6,2,6/2/2009,0.648
2009,6,3,6/3/2009,0.671
2009,6,4,6/4/2009,0.684
2009,6,5,6/5/2009,0.641
2009,6,6,6/6/2009,0.685
2009,6,7,6/7/2009,0.684
2009,6,8,6/8/2009,0.673
2009,6,9,6/9/2009,0.641
2009,6,10,6/10/2009,0.629
2009,6,11,6/11/2009,0.572
2009,6,12,6/12/2009,0.576
2009,6,13,6/13/2009,0.575
2009,6,14,6/14/2009,0.533
2009,6,15,6/15/2009,0.528
2009,6,16,6/16/2009,0.549
2009,6,17,6/17/2009,0.602
2009,6,18,6/18/2009,0.639
2009,6,19,6/19/2009,0.699
2009,6,20,6/20/2009,0.74
2009,6,21,6/21/2009,0.823
2009,6,22,6/22/2009,0.888
2009,6,23,6/23/2009,0.843
2009,6,24,6/24/2009,0.874
2009,6,25,6/25/2009,0.843
2009,6,26,6/26/2009,0.796
2009,6,27,6/27/2009,0.742
2009,6,28,6/28/2009,0.708
2009,6,29,6/29/2009,0.655
2009,6,30,6/30/2009,0.633
2009,7,1,7/1/2009,0.606
2009,7,2,7/2/2009,0.611
2009,7,3,7/3/2009,0.626
2009,7,4,7/4/2009,0.642
2009,7,5,7/5/2009,0.644
2009,7,6,7/6/2009,0.608
2009,7,7,7/7/2009,0.609
2009,7,8,7/8/2009,0.617
2009,7,9,7/9/2009,0.626
2009,7,10,7/10/2009,0.584
2009,7,11,7/11/2009,0.539
2009,7,12,7/12/2009,0.555
2009,7,13,7/13/2009,0.568
2009,7,14,7/14/2009,0.564
2009,7,15,7/15/2009,0.56
2009,7,16,7/16/2009,0.595
2009,7,17,7/17/2009,0.626
2009,7,18,7/18/2009,0.683
2009,7,19,7/19/2009,0.75
2009,7,20,7/20/2009,0.843
2009,7,21,7/21/2009,0.886
2009,7,22,7/22/2009,0.84
2009,7,23,7/23/2009,0.851
2009,7,24,7/24/2009,0.787
2009,7,25,7/25/2009,0.736
2009,7,26,7/26/2009,0.756
2009,7,27,7/27/2009,0.709
2009,7,28,7/28/2009,0.651
2009,7,29,7/29/2009,0.598
2009,7,30,7/30/2009,0.505
2009,7,31,7/31/2009,0.536
2009,8,1,8/1/2009,0.538
2009,8,2,8/2/2009,0.585
2009,8,3,8/3/2009,0.612
2009,8,4,8/4/2009,0.629
2009,8,5,8/5/2009,0.646
2009,8,6,8/6/2009,0.651
2009,8,7,8/7/2009,0.637
2009,8,8,8/8/2009,0.618
2009,8,9,8/9/2009,0.645
2009,8,10,8/10/2009,0.592
2009,8,11,8/11/2009,0.626
2009,8,12,8/12/2009,0.597
2009,8,13,8/13/2009,0.585
2009,8,14,8/14/2009,0.602
2009,8,15,8/15/2009,0.566
2009,8,16,8/16/2009,0.649
2009,8,17,8/17/2009,0.7
2009,8,18,8/18/2009,0.784
2009,8,19,8/19/2009,0.858
2009,8,20,8/20/2009,0.885
2009,8,21,8/21/2009,0.847
2009,8,22,8/22/2009,0.826
2009,8,23,8/23/2009,0.808
2009,8,24,8/24/2009,0.727
2009,8,25,8/25/2009,0.711
2009,8,26,8/26/2009,0.633
2009,8,27,8/27/2009,0.558
2009,8,28,8/28/2009,0.497
2009,8,29,8/29/2009,0.492
2009,8,30,8/30/2009,0.528
2009,8,31,8/31/2009,0.53
2009,9,1,9/1/2009,0.568
2009,9,2,9/2/2009,0.602
2009,9,3,9/3/2009,0.614
2009,9,4,9/4/2009,0.639
2009,9,5,9/5/2009,0.66
2009,9,6,9/6/2009,0.67
2009,9,7,9/7/2009,0.727
2009,9,8,9/8/2009,0.686
2009,9,9,9/9/2009,0.684
2009,9,10,9/10/2009,0.649
2009,9,11,9/11/2009,0.621
2009,9,12,9/12/2009,0.622
2009,9,13,9/13/2009,0.626
2009,9,14,9/14/2009,0.64
2009,9,15,9/15/2009,0.719
2009,9,16,9/16/2009,0.767
2009,9,17,9/17/2009,0.826
2009,9,18,9/18/2009,0.864
2009,9,19,9/19/2009,0.865
2009,9,20,9/20/2009,0.854
2009,9,21,9/21/2009,0.8
2009,9,22,9/22/2009,0.741
2009,9,23,9/23/2009,0.649
2009,9,24,9/24/2009,0.593
2009,9,25,9/25/2009,0.549
2009,9,26,9/26/2009,0.474
2009,9,27,9/27/2009,0.474
2009,9,28,9/28/2009,0.476
2009,9,29,9/29/2009,0.512
2009,9,30,9/30/2009,0.537
2009,10,1,10/1/2009,0.593
2009,10,2,10/2/2009,0.618
2009,10,3,10/3/2009,0.678
2009,10,4,10/4/2009,0.725
2009,10,5,10/5/2009,0.709
2009,10,6,10/6/2009,0.735
2009,10,7,10/7/2009,0.748
2009,10,8,10/8/2009,0.709
2009,10,9,10/9/2009,0.666
2009,10,10,10/10/2009,0.639
2009,10,11,10/11/2009,0.591
2009,10,12,10/12/2009,0.613
2009,10,13,10/13/2009,0.647
2009,10,14,10/14/2009,0.679
2009,10,15,10/15/2009,0.754
2009,10,16,10/16/2009,0.829
2009,10,17,10/17/2009,0.869
2009,10,18,10/18/2009,0.888
2009,10,19,10/19/2009,0.869
2009,10,20,10/20/2009,0.794
2009,10,21,10/21/2009,0.713
2009,10,22,10/22/2009,0.649
2009,10,23,10/23/2009,0.558
2009,10,24,10/24/2009,0.494
2009,10,25,10/25/2009,0.475
2009,10,26,10/26/2009,0.438
2009,10,27,10/27/2009,0.468
2009,10,28,10/28/2009,0.521
2009,10,29,10/29/2009,0.52
2009,10,30,10/30/2009,0.605
2009,10,31,10/31/2009,0.624
2009,11,1,11/1/2009,0.735
2009,11,2,11/2/2009,0.793
2009,11,3,11/3/2009,0.81
2009,11,4,11/4/2009,0.865
2009,11,5,11/5/2009,0.831
2009,11,6,11/6/2009,0.783
2009,11,7,11/7/2009,0.712
2009,11,8,11/8/2009,0.665
2009,11,9,11/9/2009,0.632
2009,11,10,11/10/2009,0.655
2009,11,11,11/11/2009,0.678
2009,11,12,11/12/2009,0.747
2009,11,13,11/13/2009,0.768
2009,11,14,11/14/2009,0.816
2009,11,15,11/15/2009,0.804
2009,11,16,11/16/2009,0.798
2009,11,17,11/17/2009,0.76
2009,11,18,11/18/2009,0.723
2009,11,19,11/19/2009,0.737
2009,11,20,11/20/2009,0.673
2009,11,21,11/21/2009,0.62
2009,11,22,11/22/2009,0.541
2009,11,23,11/23/2009,0.508
2009,11,24,11/24/2009,0.475
2009,11,25,11/25/2009,0.465
2009,11,26,11/26/2009,0.61
2009,11,27,11/27/2009,0.545
2009,11,28,11/28/2009,0.635
2009,11,29,11/29/2009,0.677
2009,11,30,11/30/2009,0.72
2009,12,1,12/1/2009,0.796
2009,12,2,12/2/2009,0.868
2009,12,3,12/3/2009,0.845
2009,12,4,12/4/2009,0.845
2009,12,5,12/5/2009,0.808
2009,12,6,12/6/2009,0.793
2009,12,7,12/7/2009,0.705
2009,12,8,12/8/2009,0.674
2009,12,9,12/9/2009,0.726
2009,12,10,12/10/2009,0.702
2009,12,11,12/11/2009,0.674
2009,12,12,12/12/2009,0.658
2009,12,13,12/13/2009,0.671
2009,12,14,12/14/2009,0.72
2009,12,15,12/15/2009,0.692
2009,12,16,12/16/2009,0.709
2009,12,17,12/17/2009,0.805
2009,12,18,12/18/2009,0.701
2009,12,19,12/19/2009,0.611
2009,12,20,12/20/2009,0.546
2009,12,21,12/21/2009,0.583
2009,12,22,12/22/2009,0.558
2009,12,23,12/23/2009,0.498
2009,12,24,12/24/2009,0.501
2009,12,25,12/25/2009,0.623
2009,12,26,12/26/2009,0.609
2009,12,27,12/27/2009,0.609
2009,12,28,12/28/2009,0.669
2009,12,29,12/29/2009,0.73
2009,12,30,12/30/2009,0.805
2009,12,31,12/31/2009,0.799
2010,1,1,1/1/2010,0.885
2010,1,2,1/2/2010,0.896
2010,1,3,1/3/2010,0.862
2010,1,4,1/4/2010,0.844
2010,1,5,1/5/2010,0.791
2010,1,6,1/6/2010,0.681
2010,1,7,1/7/2010,0.665
2010,1,8,1/8/2010,0.646
2010,1,9,1/9/2010,0.677
2010,1,10,1/10/2010,0.529
2010,1,11,1/11/2010,0.646
2010,1,12,1/12/2010,0.612
2010,1,13,1/13/2010,0.642
2010,1,14,1/14/2010,0.65
2010,1,15,1/15/2010,0.654
2010,1,16,1/16/2010,0.661
2010,1,17,1/17/2010,0.621
2010,1,18,1/18/2010,0.609
2010,1,19,1/19/2010,0.597
2010,1,20,1/20/2010,0.558
2010,1,21,1/21/2010,0.561
2010,1,22,1/22/2010,0.535
2010,1,23,1/23/2010,0.502
2010,1,24,1/24/2010,0.53
2010,1,25,1/25/2010,0.7
2010,1,26,1/26/2010,0.636
2010,1,27,1/27/2010,0.711
2010,1,28,1/28/2010,0.765
2010,1,29,1/29/2010,0.86
2010,1,30,1/30/2010,0.886
2010,1,31,1/31/2010,0.912
2010,2,1,2/1/2010,0.87
2010,2,2,2/2/2010,0.825
2010,2,3,2/3/2010,0.812
2010,2,4,2/4/2010,0.694
2010,2,5,2/5/2010,0.679
2010,2,6,2/6/2010,0.591
2010,2,7,2/7/2010,0.52
2010,2,8,2/8/2010,0.536
2010,2,9,2/9/2010,0.529
2010,2,10,2/10/2010,0.511
2010,2,11,2/11/2010,0.651
2010,2,12,2/12/2010,0.689
2010,2,13,2/13/2010,0.68
2010,2,14,2/14/2010,0.668
2010,2,15,2/15/2010,0.647
2010,2,16,2/16/2010,0.618
2010,2,17,2/17/2010,0.652
2010,2,18,2/18/2010,0.591
2010,2,19,2/19/2010,0.628
2010,2,20,2/20/2010,0.587
2010,2,21,2/21/2010,0.535
2010,2,22,2/22/2010,0.587
2010,2,23,2/23/2010,0.519
2010,2,24,2/24/2010,0.699
2010,2,25,2/25/2010,0.702
2010,2,26,2/26/2010,0.787
2010,2,27,2/27/2010,0.937
2010,2,28,2/28/2010,0.854
2010,3,1,3/1/2010,0.929
2010,3,2,3/2/2010,0.922
2010,3,3,3/3/2010,0.807
2010,3,4,3/4/2010,0.795
2010,3,5,3/5/2010,0.676
2010,3,6,3/6/2010,0.572
2010,3,7,3/7/2010,0.517
2010,3,8,3/8/2010,0.47
2010,3,9,3/9/2010,0.505
2010,3,10,3/10/2010,0.493
2010,3,11,3/11/2010,0.536
2010,3,12,3/12/2010,0.546
2010,3,13,3/13/2010,0.577
2010,3,14,3/14/2010,0.607
2010,3,15,3/15/2010,0.647
2010,3,16,3/16/2010,0.728
2010,3,17,3/17/2010,0.666
2010,3,18,3/18/2010,0.682
2010,3,19,3/19/2010,0.65
2010,3,20,3/20/2010,0.658
2010,3,21,3/21/2010,0.661
2010,3,22,3/22/2010,0.601
2010,3,23,3/23/2010,0.569
2010,3,24,3/24/2010,0.558
2010,3,25,3/25/2010,0.625
2010,3,26,3/26/2010,0.654
2010,3,27,3/27/2010,0.741
2010,3,28,3/28/2010,0.814
2010,3,29,3/29/2010,0.91
2010,3,30,3/30/2010,0.865
2010,3,31,3/31/2010,0.879
2010,4,1,4/1/2010,0.831
2010,4,2,4/2/2010,0.725
2010,4,3,4/3/2010,0.691
2010,4,4,4/4/2010,0.631
2010,4,5,4/5/2010,0.534
2010,4,6,4/6/2010,0.484
2010,4,7,4/7/2010,0.477
2010,4,8,4/8/2010,0.47
2010,4,9,4/9/2010,0.496
2010,4,10,4/10/2010,0.54
2010,4,11,4/11/2010,0.569
2010,4,12,4/12/2010,0.649
2010,4,13,4/13/2010,0.693
2010,4,14,4/14/2010,0.711
2010,4,15,4/15/2010,0.719
2010,4,16,4/16/2010,0.722
2010,4,17,4/17/2010,0.709
2010,4,18,4/18/2010,0.624
2010,4,19,4/19/2010,0.643
2010,4,20,4/20/2010,0.614
2010,4,21,4/21/2010,0.637
2010,4,22,4/22/2010,0.597
2010,4,23,4/23/2010,0.616
2010,4,24,4/24/2010,0.648
2010,4,25,4/25/2010,0.745
2010,4,26,4/26/2010,0.807
2010,4,27,4/27/2010,0.829
2010,4,28,4/28/2010,0.889
2010,4,29,4/29/2010,0.836
2010,4,30,4/30/2010,0.793
2010,5,1,5/1/2010,0.705
2010,5,2,5/2/2010,0.674
2010,5,3,5/3/2010,0.614
2010,5,4,5/4/2010,0.494
2010,5,5,5/5/2010,0.46
2010,5,6,5/6/2010,0.452
2010,5,7,5/7/2010,0.457
2010,5,8,5/8/2010,0.522
2010,5,9,5/9/2010,0.527
2010,5,10,5/10/2010,0.612
2010,5,11,5/11/2010,0.619
2010,5,12,5/12/2010,0.691
2010,5,13,5/13/2010,0.741
2010,5,14,5/14/2010,0.738
2010,5,15,5/15/2010,0.746
2010,5,16,5/16/2010,0.77
2010,5,17,5/17/2010,0.692
2010,5,18,5/18/2010,0.703
2010,5,19,5/19/2010,0.683
2010,5,20,5/20/2010,0.621
2010,5,21,5/21/2010,0.643
2010,5,22,5/22/2010,0.657
2010,5,23,5/23/2010,0.683
2010,5,24,5/24/2010,0.745
2010,5,25,5/25/2010,0.769
2010,5,26,5/26/2010,0.812
2010,5,27,5/27/2010,0.757
2010,5,28,5/28/2010,0.763
2010,5,29,5/29/2010,0.715
2010,5,30,5/30/2010,0.672
2010,5,31,5/31/2010,0.658
2010,6,1,6/1/2010,0.619
2010,6,2,6/2/2010,0.546
2010,6,3,6/3/2010,0.535
2010,6,4,6/4/2010,0.485
2010,6,5,6/5/2010,0.476
2010,6,6,6/6/2010,0.496
2010,6,7,6/7/2010,0.568
2010,6,8,6/8/2010,0.583
2010,6,9,6/9/2010,0.648
2010,6,10,6/10/2010,0.713
2010,6,11,6/11/2010,0.725
2010,6,12,6/12/2010,0.79
2010,6,13,6/13/2010,0.832
2010,6,14,6/14/2010,0.833
2010,6,15,6/15/2010,0.751
2010,6,16,6/16/2010,0.785
2010,6,17,6/17/2010,0.698
2010,6,18,6/18/2010,0.701
2010,6,19,6/19/2010,0.703
2010,6,20,6/20/2010,0.668
2010,6,21,6/21/2010,0.66
2010,6,22,6/22/2010,0.666
2010,6,23,6/23/2010,0.683
2010,6,24,6/24/2010,0.727
2010,6,25,6/25/2010,0.715
2010,6,26,6/26/2010,0.698
2010,6,27,6/27/2010,0.656
2010,6,28,6/28/2010,0.657
2010,6,29,6/29/2010,0.606
2010,6,30,6/30/2010,0.587
2010,7,1,7/1/2010,0.568
2010,7,2,7/2/2010,0.519
2010,7,3,7/3/2010,0.501
2010,7,4,7/4/2010,0.59
2010,7,5,7/5/2010,0.516
2010,7,6,7/6/2010,0.534
2010,7,7,7/7/2010,0.57
2010,7,8,7/8/2010,0.657
2010,7,9,7/9/2010,0.69
2010,7,10,7/10/2010,0.781
2010,7,11,7/11/2010,0.817
2010,7,12,7/12/2010,0.832
2010,7,13,7/13/2010,0.827
2010,7,14,7/14/2010,0.833
2010,7,15,7/15/2010,0.78
2010,7,16,7/16/2010,0.784
2010,7,17,7/17/2010,0.733
2010,7,18,7/18/2010,0.658
2010,7,19,7/19/2010,0.634
2010,7,20,7/20/2010,0.612
2010,7,21,7/21/2010,0.622
2010,7,22,7/22/2010,0.646
2010,7,23,7/23/2010,0.585
2010,7,24,7/24/2010,0.654
2010,7,25,7/25/2010,0.649
2010,7,26,7/26/2010,0.65
2010,7,27,7/27/2010,0.664
2010,7,28,7/28/2010,0.6
2010,7,29,7/29/2010,0.562
2010,7,30,7/30/2010,0.59
2010,7,31,7/31/2010,0.57
2010,8,1,8/1/2010,0.543
2010,8,2,8/2/2010,0.534
2010,8,3,8/3/2010,0.54
2010,8,4,8/4/2010,0.541
2010,8,5,8/5/2010,0.569
2010,8,6,8/6/2010,0.628
2010,8,7,8/7/2010,0.719
2010,8,8,8/8/2010,0.77
2010,8,9,8/9/2010,0.838
2010,8,10,8/10/2010,0.86
2010,8,11,8/11/2010,0.868
2010,8,12,8/12/2010,0.857
2010,8,13,8/13/2010,0.778
2010,8,14,8/14/2010,0.807
2010,8,15,8/15/2010,0.714
2010,8,16,8/16/2010,0.662
2010,8,17,8/17/2010,0.625
2010,8,18,8/18/2010,0.604
2010,8,19,8/19/2010,0.586
2010,8,20,8/20/2010,0.562
2010,8,21,8/21/2010,0.628
2010,8,22,8/22/2010,0.635
2010,8,23,8/23/2010,0.63
2010,8,24,8/24/2010,0.643
2010,8,25,8/25/2010,0.605
2010,8,26,8/26/2010,0.629
2010,8,27,8/27/2010,0.62
2010,8,28,8/28/2010,0.614
2010,8,29,8/29/2010,0.562
2010,8,30,8/30/2010,0.565
2010,8,31,8/31/2010,0.557
2010,9,1,9/1/2010,0.534
2010,9,2,9/2/2010,0.536
2010,9,3,9/3/2010,0.582
2010,9,4,9/4/2010,0.65
2010,9,5,9/5/2010,0.71
2010,9,6,9/6/2010,0.779
2010,9,7,9/7/2010,0.844
2010,9,8,9/8/2010,0.889
2010,9,9,9/9/2010,0.921
2010,9,10,9/10/2010,0.89
2010,9,11,9/11/2010,0.836
2010,9,12,9/12/2010,0.78
2010,9,13,9/13/2010,0.713
2010,9,14,9/14/2010,0.633
2010,9,15,9/15/2010,0.592
2010,9,16,9/16/2010,0.559
2010,9,17,9/17/2010,0.51
2010,9,18,9/18/2010,0.532
2010,9,19,9/19/2010,0.576
2010,9,20,9/20/2010,0.587
2010,9,21,9/21/2010,0.603
2010,9,22,9/22/2010,0.636
2010,9,23,9/23/2010,0.644
2010,9,24,9/24/2010,0.673
2010,9,25,9/25/2010,0.64
2010,9,26,9/26/2010,0.656
2010,9,27,9/27/2010,0.657
2010,9,28,9/28/2010,0.609
2010,9,29,9/29/2010,0.605
2010,9,30,9/30/2010,0.549
2010,10,1,10/1/2010,0.6
2010,10,2,10/2/2010,0.577
2010,10,3,10/3/2010,0.623
2010,10,4,10/4/2010,0.683
2010,10,5,10/5/2010,0.835
2010,10,6,10/6/2010,0.845
2010,10,7,10/7/2010,0.918
2010,10,8,10/8/2010,0.923
2010,10,9,10/9/2010,0.953
2010,10,10,10/10/2010,0.833
2010,10,11,10/11/2010,0.77
2010,10,12,10/12/2010,0.709
2010,10,13,10/13/2010,0.608
2010,10,14,10/14/2010,0.541
2010,10,15,10/15/2010,0.526
2010,10,16,10/16/2010,0.502
2010,10,17,10/17/2010,0.503
2010,10,18,10/18/2010,0.546
2010,10,19,10/19/2010,0.555
2010,10,20,10/20/2010,0.587
2010,10,21,10/21/2010,0.617
2010,10,22,10/22/2010,0.649
2010,10,23,10/23/2010,0.692
2010,10,24,10/24/2010,0.692
2010,10,25,10/25/2010,0.68
2010,10,26,10/26/2010,0.662
2010,10,27,10/27/2010,0.611
2010,10,28,10/28/2010,0.617
2010,10,29,10/29/2010,0.617
2010,10,30,10/30/2010,0.576
2010,10,31,10/31/2010,0.602
2010,11,1,11/1/2010,0.666
2010,11,2,11/2/2010,0.657
2010,11,3,11/3/2010,0.766
2010,11,4,11/4/2010,0.85
2010,11,5,11/5/2010,0.827
2010,11,6,11/6/2010,0.864
2010,11,7,11/7/2010,0.906
2010,11,8,11/8/2010,0.823
2010,11,9,11/9/2010,0.776
2010,11,10,11/10/2010,0.678
2010,11,11,11/11/2010,0.622
2010,11,12,11/12/2010,0.538
2010,11,13,11/13/2010,0.505
2010,11,14,11/14/2010,0.495
2010,11,15,11/15/2010,0.487
2010,11,16,11/16/2010,0.614
2010,11,17,11/17/2010,0.593
2010,11,18,11/18/2010,0.59
2010,11,19,11/19/2010,0.685
2010,11,20,11/20/2010,0.701
2010,11,21,11/21/2010,0.699
2010,11,22,11/22/2010,0.729
2010,11,23,11/23/2010,0.738
2010,11,24,11/24/2010,0.733
2010,11,25,11/25/2010,0.723
2010,11,26,11/26/2010,0.692
2010,11,27,11/27/2010,0.642
2010,11,28,11/28/2010,0.649
2010,11,29,11/29/2010,0.645
2010,11,30,11/30/2010,0.698
2010,12,1,12/1/2010,0.748
2010,12,2,12/2/2010,0.766
2010,12,3,12/3/2010,0.786
2010,12,4,12/4/2010,0.813
2010,12,5,12/5/2010,0.829
2010,12,6,12/6/2010,0.824
2010,12,7,12/7/2010,0.797
2010,12,8,12/8/2010,0.764
2010,12,9,12/9/2010,0.662
2010,12,10,12/10/2010,0.631
2010,12,11,12/11/2010,0.55
2010,12,12,12/12/2010,0.508
2010,12,13,12/13/2010,0.528
2010,12,14,12/14/2010,0.481
2010,12,15,12/15/2010,0.508
2010,12,16,12/16/2010,0.599
2010,12,17,12/17/2010,0.568
2010,12,18,12/18/2010,0.626
2010,12,19,12/19/2010,0.631
2010,12,20,12/20/2010,0.724
2010,12,21,12/21/2010,0.723
2010,12,22,12/22/2010,0.786
2010,12,23,12/23/2010,0.812
2010,12,24,12/24/2010,0.826
2010,12,25,12/25/2010,0.772
2010,12,26,12/26/2010,0.783
2010,12,27,12/27/2010,0.645
2010,12,28,12/28/2010,0.711
2010,12,29,12/29/2010,0.657
2010,12,30,12/30/2010,0.733
2010,12,31,12/31/2010,0.638
2011,1,1,1/1/2011,0.688
2011,1,2,1/2/2011,0.695
2011,1,3,1/3/2011,0.746
2011,1,4,1/4/2011,0.736
2011,1,5,1/5/2011,0.762
2011,1,6,1/6/2011,0.744
2011,1,7,1/7/2011,0.725
2011,1,8,1/8/2011,0.596
2011,1,9,1/9/2011,0.566
2011,1,10,1/10/2011,0.542
2011,1,11,1/11/2011,0.488
2011,1,12,1/12/2011,0.49
2011,1,13,1/13/2011,0.454
2011,1,14,1/14/2011,0.453
2011,1,15,1/15/2011,0.518
2011,1,16,1/16/2011,0.569
2011,1,17,1/17/2011,0.651
2011,1,18,1/18/2011,0.706
2011,1,19,1/19/2011,0.755
2011,1,20,1/20/2011,0.837
2011,1,21,1/21/2011,0.913
2011,1,22,1/22/2011,0.866
2011,1,23,1/23/2011,0.797
2011,1,24,1/24/2011,0.784
2011,1,25,1/25/2011,0.701
2011,1,26,1/26/2011,0.727
2011,1,27,1/27/2011,0.609
2011,1,28,1/28/2011,0.612
2011,1,29,1/29/2011,0.578
2011,1,30,1/30/2011,0.619
2011,1,31,1/31/2011,0.669
2011,2,1,2/1/2011,0.703
2011,2,2,2/2/2011,0.653
2011,2,3,2/3/2011,0.714
2011,2,4,2/4/2011,0.665
2011,2,5,2/5/2011,0.632
2011,2,6,2/6/2011,0.61
2011,2,7,2/7/2011,0.59
2011,2,8,2/8/2011,0.561
2011,2,9,2/9/2011,0.5
2011,2,10,2/10/2011,0.507
2011,2,11,2/11/2011,0.49
2011,2,12,2/12/2011,0.564
2011,2,13,2/13/2011,0.473
2011,2,14,2/14/2011,0.543
2011,2,15,2/15/2011,0.664
2011,2,16,2/16/2011,0.697
2011,2,17,2/17/2011,0.775
2011,2,18,2/18/2011,0.846
2011,2,19,2/19/2011,0.887
2011,2,20,2/20/2011,0.883
2011,2,21,2/21/2011,0.833
2011,2,22,2/22/2011,0.831
2011,2,23,2/23/2011,0.691
2011,2,24,2/24/2011,0.649
2011,2,25,2/25/2011,0.682
2011,2,26,2/26/2011,0.547
2011,2,27,2/27/2011,0.545
2011,2,28,2/28/2011,0.607
2011,3,1,3/1/2011,0.679
2011,3,2,3/2/2011,0.595
2011,3,3,3/3/2011,0.674
2011,3,4,3/4/2011,0.638
2011,3,5,3/5/2011,0.641
2011,3,6,3/6/2011,0.65
2011,3,7,3/7/2011,0.652
2011,3,8,3/8/2011,0.622
2011,3,9,3/9/2011,0.602
2011,3,10,3/10/2011,0.626
2011,3,11,3/11/2011,0.498
2011,3,12,3/12/2011,0.47
2011,3,13,3/13/2011,0.501
2011,3,14,3/14/2011,0.509
2011,3,15,3/15/2011,0.594
2011,3,16,3/16/2011,0.638
2011,3,17,3/17/2011,0.721
2011,3,18,3/18/2011,0.796
2011,3,19,3/19/2011,0.868
2011,3,20,3/20/2011,0.876
2011,3,21,3/21/2011,0.884
2011,3,22,3/22/2011,0.836
2011,3,23,3/23/2011,0.836
2011,3,24,3/24/2011,0.679
2011,3,25,3/25/2011,0.599
2011,3,26,3/26/2011,0.519
2011,3,27,3/27/2011,0.546
2011,3,28,3/28/2011,0.541
2011,3,29,3/29/2011,0.595
2011,3,30,3/30/2011,0.555
2011,3,31,3/31/2011,0.594
2011,4,1,4/1/2011,0.627
2011,4,2,4/2/2011,0.64
2011,4,3,4/3/2011,0.694
2011,4,4,4/4/2011,0.684
2011,4,5,4/5/2011,0.669
2011,4,6,4/6/2011,0.653
2011,4,7,4/7/2011,0.621
2011,4,8,4/8/2011,0.603
2011,4,9,4/9/2011,0.557
2011,4,10,4/10/2011,0.555
2011,4,11,4/11/2011,0.525
2011,4,12,4/12/2011,0.552
2011,4,13,4/13/2011,0.6
